Tue Nov 15 11:43:17 2022    output.dat

         348506 function calls (344947 primitive calls) in 2842.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2726.127 2726.127 2842.435 2842.435 {method 'mainloop' of '_tkinter.tkapp' objects}
  721/651  113.623    0.158  113.625    0.175 {method 'call' of '_tkinter.tkapp' objects}
        9    2.424    0.269    2.424    0.269 {built-in method io.open}
        4    0.088    0.022    0.165    0.041 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:442(extractInfo)
    48896    0.027    0.000    0.035    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:307(read_ushort)
    27686    0.017    0.000    0.021    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:312(read_ulong)
    77378    0.012    0.000    0.012    0.000 {built-in method _struct.unpack}
        3    0.012    0.004    0.012    0.004 {built-in method _pickle.load}
        5    0.011    0.002    0.011    0.002 {method 'read' of '_io.BufferedReader' objects}
    76056    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
   2379/2    0.008    0.000    0.012    0.006 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\babel\localedata.py:153(merge)
       10    0.008    0.001    0.008    0.001 {built-in method zlib.compress}
      102    0.008    0.000    0.008    0.000 {built-in method nt.stat}
    24308    0.005    0.000    0.005    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:565(<lambda>)
    23104    0.005    0.000    0.005    0.000 {method 'setdefault' of 'dict' objects}
    21790    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
        4    0.003    0.001    0.006    0.001 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:874(makeSubset)
   968/48    0.002    0.000    0.020    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:56(format)
      481    0.002    0.000    0.003    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:101(_cnfmerge)
      836    0.002    0.000    0.002    0.000 {built-in method reportlab.lib._rl_accel.fp_str}
      323    0.002    0.000    0.004    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1497(_options)
        2    0.002    0.001    0.040    0.020 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\InvoiceGenerator\pdf.py:324(_drawItems)
    10528    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        2    0.001    0.001    0.183    0.091 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\InvoiceGenerator\pdf.py:91(prepare_invoice_draw)
   165/18    0.001    0.000    0.054    0.003 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2606(destroy)
      984    0.001    0.000    0.004    0.000 {method 'encode' of 'str' objects}
        4    0.001    0.000    0.179    0.045 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:414(__init__)
      944    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
       40    0.001    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:333(get_table)
      165    0.001    0.000    0.090    0.001 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2589(__init__)
      216    0.001    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:646(PDFName)
       88    0.001    0.000    0.001    0.000 {built-in method reportlab.lib._rl_accel.instanceStringWidthTTF}
      165    0.001    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2559(_setup)
       12    0.001    0.000    0.001    0.000 {method 'update' of '_hashlib.HASH' objects}
      950    0.001    0.000    0.005    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:53(pdfdocEnc)
     2449    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      460    0.001    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\ntpath.py:124(splitdrive)
       30    0.001    0.000    0.003    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\platypus\paragraph.py:1996(breakLines)
       72    0.001    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:1201(splitString)
        1    0.001    0.001    0.001    0.001 {built-in method io.open_code}
      124    0.001    0.000    0.002    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\ntpath.py:77(join)
      520    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:90(<listcomp>)
      944    0.000    0.000    0.002    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\rl_codecs.py:1026(encode)
    36/32    0.000    0.000    0.010    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:680(<listcomp>)
 1002/995    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
